import time: self [us] | cumulative | imported package
import time:       641 |        641 |                           numpy.lib.histograms
import time:      1409 |       2049 |                         numpy.lib.function_base
import time:       786 |      21087 |                       numpy.lib.index_tricks
import time:       755 |        755 |                       numpy.lib.nanfunctions
import time:       707 |        707 |                       numpy.lib.shape_base
import time:       867 |        867 |                       numpy.lib.polynomial
import time:      1316 |       1316 |                         textwrap
import time:      2039 |       2039 |                         platform
import time:       988 |       4342 |                       numpy.lib.utils
import time:       638 |        638 |                       numpy.lib.arraysetops
import time:       829 |        829 |                         weakref
import time:       567 |        567 |                         numpy.lib.format
import time:       598 |        598 |                         numpy.lib._datasource
import time:       769 |        769 |                         numpy.lib._iotools
import time:       965 |       3727 |                       numpy.lib.npyio
import time:       529 |        529 |                       numpy.lib.arrayterator
import time:       581 |        581 |                       numpy.lib.arraypad
import time:       517 |        517 |                       numpy.lib._version
import time:       940 |      37897 |                     numpy.lib
import time:       975 |        975 |                         numpy.fft._pocketfft_internal
import time:       970 |       1945 |                       numpy.fft._pocketfft
import time:       552 |        552 |                       numpy.fft.helper
import time:       613 |       3109 |                     numpy.fft
import time:       710 |        710 |                         numpy.polynomial.polyutils
import time:       732 |        732 |                         numpy.polynomial._polybase
import time:       973 |       2414 |                       numpy.polynomial.polynomial
import time:       801 |        801 |                       numpy.polynomial.chebyshev
import time:      1292 |       1292 |                       numpy.polynomial.legendre
import time:       704 |        704 |                       numpy.polynomial.hermite
import time:       660 |        660 |                       numpy.polynomial.hermite_e
import time:       685 |        685 |                       numpy.polynomial.laguerre
import time:       714 |       7268 |                     numpy.polynomial
import time:       997 |        997 |                               backports_abc
import time:      1600 |       2596 |                             numpy.random._common
import time:       102 |        102 |                                 binascii
import time:       968 |       1069 |                               base64
import time:      3852 |       3852 |                                 _hashlib
import time:       108 |        108 |                                   _blake2
import time:      1164 |       1272 |                                 hashlib
import time:       756 |       5879 |                               hmac
import time:        49 |         49 |                                   _bisect
import time:       618 |        667 |                                 bisect
import time:        38 |         38 |                                 _random
import time:        37 |         37 |                                 _sha512
import time:       933 |       1674 |                               random
import time:       860 |       9480 |                             secrets
import time:      1327 |      13401 |                           numpy.random.bit_generator
import time:      1015 |       1015 |                           numpy.random._bounded_integers
import time:       958 |        958 |                           numpy.random._mt19937
import time:      1635 |      17008 |                         numpy.random.mtrand
import time:       965 |        965 |                         numpy.random._philox
import time:      1023 |       1023 |                         numpy.random._pcg64
import time:      1014 |       1014 |                         numpy.random._sfc64
import time:      1325 |       1325 |                         numpy.random._generator
import time:       848 |      22181 |                       numpy.random._pickle
import time:       644 |      22824 |                     numpy.random
import time:       883 |        883 |                     numpy.ctypeslib
import time:        48 |         48 |                               _opcode
import time:       829 |        876 |                             opcode
import time:      1235 |       2110 |                           dis
import time:       667 |        667 |                               token
import time:      1363 |       2029 |                             tokenize
import time:       676 |       2705 |                           linecache
import time:      2124 |       6939 |                         inspect
import time:      3320 |      10258 |                       numpy.ma.core
import time:      1368 |       1368 |                       numpy.ma.extras
import time:       738 |      12364 |                     numpy.ma
import time:      2646 |     167201 |                   numpy
import time:        24 |     167224 |                 numpy.core
import time:        24 |     167248 |               numpy.core._multiarray_umath
import time:       545 |        545 |               astra.pythonutils
import time:      1513 |       1513 |                 astra.log_c
import time:       547 |       2059 |               astra.log
import time:      1640 |     171491 |             astra.utils
import time:     10803 |     185369 |           astra.astra_c
import time:      1761 |       1761 |           astra.data2d_c
import time:      1556 |       1556 |           astra.data3d_c
import time:      1394 |       1394 |           astra.projector_c
import time:      1462 |       1462 |           astra.algorithm_c
import time:        53 |         53 |             six.moves
import time:       951 |        951 |                 scipy.__config__
import time:       469 |        469 |                 scipy.version
import time:       758 |        758 |                   glob
import time:       555 |       1312 |                 scipy._distributor_init
import time:        75 |         75 |                       zlib
import time:       664 |        664 |                         _compression
import time:      2223 |       2223 |                         _bz2
import time:       721 |       3607 |                       bz2
import time:      2779 |       2779 |                         _lzma
import time:       837 |       3616 |                       lzma
import time:      1321 |       8617 |                     shutil
import time:        60 |         60 |                         _locale
import time:      1224 |       1283 |                       locale
import time:       831 |        831 |                       signal
import time:       672 |        672 |                       fcntl
import time:        45 |         45 |                       msvcrt
import time:      1407 |       4236 |                     subprocess
import time:      1433 |       1433 |                     sysconfig
import time:       657 |        657 |                     cython
import time:      1391 |      16332 |                   scipy._lib._testutils
import time:       569 |      16900 |                 scipy._lib
import time:      1882 |       1882 |                 scipy._lib._pep440
import time:      1080 |       1080 |                   scipy._lib._ccallback_c
import time:       600 |       1680 |                 scipy._lib._ccallback
import time:      1045 |      24236 |               scipy
import time:       841 |        841 |                         numpy._typing._add_docstring
import time:       596 |       1437 |                       numpy.typing
import time:       774 |        774 |                           scipy._lib.array_api_compat.common._helpers
import time:       813 |       1586 |                         scipy._lib.array_api_compat.common
import time:       590 |       2175 |                       scipy._lib.array_api_compat
import time:      1149 |       1149 |                           scipy._lib.array_api_compat.common._aliases
import time:       512 |        512 |                           scipy._lib.array_api_compat._internal
import time:      1723 |       3383 |                         scipy._lib.array_api_compat.numpy._aliases
import time:      1057 |       1057 |                           scipy._lib.array_api_compat.common._linalg
import time:       869 |       1926 |                         scipy._lib.array_api_compat.numpy.linalg
import time:       507 |        507 |                           scipy._lib.array_api_compat.common._fft
import time:       897 |       1404 |                         scipy._lib.array_api_compat.numpy.fft
import time:       794 |       7505 |                       scipy._lib.array_api_compat.numpy
import time:       641 |      11757 |                     scipy._lib._array_api
import time:      1138 |      12894 |                   scipy._lib._util
import time:       837 |      13731 |                 scipy.sparse._sputils
import time:       530 |        530 |                 scipy.sparse._matrix
import time:      1930 |      16191 |               scipy.sparse._base
import time:      9996 |       9996 |                     numpy._core
import time:       896 |      10892 |                   numpy._core._multiarray_umath
import time:       960 |      11851 |                 scipy.sparse._sparsetools
import time:       648 |        648 |                   scipy.sparse._data
import time:       571 |        571 |                   scipy.sparse._index
import time:       984 |       2202 |                 scipy.sparse._compressed
