import time: self [us] | cumulative | imported package
import time:       492 |        492 |                                         astroid.brain.brain_http
import time:       536 |        536 |                                         astroid.brain.brain_hypothesis
import time:       489 |        489 |                                         astroid.brain.brain_io
import time:       489 |        489 |                                         astroid.brain.brain_mechanize
import time:       508 |        508 |                                         astroid.brain.brain_multiprocessing
import time:       687 |        687 |                                         astroid.brain.brain_namedtuple_enum
import time:       593 |        593 |                                         astroid.brain.brain_nose
import time:       527 |        527 |                                         astroid.brain.brain_numpy_core_einsumfunc
import time:       492 |        492 |                                         astroid.brain.brain_numpy_core_fromnumeric
import time:       513 |        513 |                                           astroid.brain.brain_numpy_utils
import time:       505 |       1017 |                                         astroid.brain.brain_numpy_core_function_base
import time:     11040 |      11040 |                                         astroid.brain.brain_numpy_core_multiarray
import time:       565 |        565 |                                         astroid.brain.brain_numpy_core_numeric
import time:       506 |        506 |                                         astroid.brain.brain_numpy_core_numerictypes
import time:       492 |        492 |                                         astroid.brain.brain_numpy_core_umath
import time:       530 |        530 |                                         astroid.brain.brain_numpy_ma
import time:       521 |        521 |                                         astroid.brain.brain_numpy_ndarray
import time:       530 |        530 |                                         astroid.brain.brain_numpy_random_mtrand
import time:       561 |        561 |                                         astroid.brain.brain_pathlib
import time:       546 |        546 |                                         astroid.brain.brain_pkg_resources
import time:       518 |        518 |                                         astroid.brain.brain_pytest
import time:       561 |        561 |                                         astroid.brain.brain_qt
import time:       572 |        572 |                                         astroid.brain.brain_random
import time:       519 |        519 |                                         astroid.brain.brain_re
import time:       556 |        556 |                                         astroid.brain.brain_regex
import time:       489 |        489 |                                         astroid.brain.brain_responses
import time:       492 |        492 |                                         astroid.brain.brain_scipy_signal
import time:       506 |        506 |                                         astroid.brain.brain_signal
import time:       549 |        549 |                                         astroid.brain.brain_six
import time:       529 |        529 |                                         astroid.brain.brain_sqlalchemy
import time:       544 |        544 |                                         astroid.brain.brain_ssl
import time:       576 |        576 |                                         astroid.brain.brain_subprocess
import time:       516 |        516 |                                         astroid.brain.brain_threading
import time:       508 |        508 |                                         astroid.brain.brain_type
import time:       653 |        653 |                                         astroid.brain.brain_typing
import time:       573 |        573 |                                         astroid.brain.brain_unittest
import time:       480 |        480 |                                         astroid.brain.brain_uuid
import time:     12425 |      51824 |                                       astroid.astroid_manager
import time:       994 |      83879 |                                     astroid
import time:      1040 |      84918 |                                   asttokens.util
import time:       673 |      85591 |                                 asttokens.asttokens
import time:       803 |      87327 |                               asttokens
import time:        22 |      87348 |                             asttokens.util
import time:      2031 |       2031 |                                       _decimal
import time:       598 |       2629 |                                     decimal
import time:      1277 |       1277 |                                     fractions
import time:       739 |       4643 |                                   pure_eval.utils
import time:       599 |       5242 |                                 pure_eval.my_getattr_static
import time:       972 |       6213 |                               pure_eval.core
import time:       506 |        506 |                               pure_eval.version
import time:       831 |       7549 |                             pure_eval
import time:       772 |        772 |                             stack_data.utils
import time:      1853 |     104527 |                           stack_data.core
import time:       687 |        687 |                           stack_data.formatting
import time:       596 |        596 |                           stack_data.serializing
import time:       486 |        486 |                           stack_data.version
import time:       914 |     107208 |                         stack_data
import time:       784 |        784 |                             pygments
import time:       715 |        715 |                             pygments.formatters._mapping
import time:       100 |        100 |                                   _csv
import time:       792 |        891 |                                 csv
import time:       689 |        689 |                                 email
import time:       611 |        611 |                                     quopri
import time:      1557 |       1557 |                                         calendar
import time:       584 |       2141 |                                       email._parseaddr
import time:       504 |        504 |                                         email.base64mime
import time:       654 |        654 |                                         email.quoprimime
import time:       836 |        836 |                                         email.errors
import time:       485 |        485 |                                         email.encoders
import time:       623 |       3100 |                                       email.charset
import time:       768 |       6007 |                                     email.utils
import time:       934 |        934 |                                       email.header
import time:       654 |       1587 |                                     email._policybase
import time:       625 |        625 |                                     email._encoded_words
import time:       500 |        500 |                                     email.iterators
import time:      1195 |      10524 |                                   email.message
import time:       475 |        475 |                                     importlib.metadata._functools
import time:       591 |       1066 |                                   importlib.metadata._text
import time:      1051 |      12640 |                                 importlib.metadata._adapters
import time:       843 |        843 |                                 importlib.metadata._meta
import time:       639 |        639 |                                 importlib.metadata._collections
import time:       535 |        535 |                                 importlib.metadata._itertools
import time:       724 |        724 |                                         importlib.resources.abc
import time:       658 |        658 |                                         importlib.resources._adapters
import time:       795 |       2176 |                                       importlib.resources._common
import time:       542 |        542 |                                       importlib.resources._legacy
import time:       612 |       3329 |                                     importlib.resources
import time:        27 |       3356 |                                   importlib.resources.abc
import time:       756 |       4111 |                                 importlib.abc
import time:      2177 |      22522 |                               importlib.metadata
import time:       486 |      23008 |                             pygments.plugin
import time:      1389 |       1389 |                             pygments.util
import time:       918 |      26814 |                           pygments.formatters
import time:       794 |        794 |                               pygments.styles._mapping
import time:       628 |       1422 |                             pygments.styles
import time:       535 |       1957 |                           pygments.formatter
import time:       503 |        503 |                           pygments.console
import time:       818 |        818 |                             pygments.token
import time:       674 |       1491 |                           pygments.style
import time:       696 |      31459 |                         pygments.formatters.terminal256
import time:       556 |        556 |                           IPython.utils
import time:       892 |       1448 |                         IPython.utils.colorable
import time:       553 |        553 |                               IPython.utils.ipstruct
import time:       657 |       1209 |                             IPython.utils.coloransi
import time:       515 |       1723 |                           IPython.core.excolors
import time:       791 |        791 |                           IPython.utils.PyColorize
import time:       495 |        495 |                             IPython.utils.encoding
import time:       539 |       1034 |                           IPython.utils.py3compat
import time:       723 |        723 |                             cmd
import time:       791 |        791 |                             bdb
import time:       646 |        646 |                               codeop
import time:       772 |       1417 |                             code
import time:      1233 |       4163 |                           pdb
import time:       921 |       8630 |                         IPython.core.debugger
import time:       638 |        638 |                         IPython.core.display_trap
import time:      1071 |       1071 |                               ctypes.wintypes
import time:       786 |        786 |                                 shlex
import time:       540 |       1326 |                               IPython.utils._process_common
import time:       688 |       3084 |                             IPython.utils._process_win32
import time:       535 |       3619 |                           IPython.utils.process
import time:       607 |       4225 |                         IPython.utils.path
import time:       522 |        522 |                         IPython.utils.terminal
import time:      1971 |     158696 |                       IPython.core.ultratb
import time:       519 |        519 |                         IPython.utils._sysinfo
import time:       569 |       1087 |                       IPython.utils.sysinfo
import time:       670 |     160452 |                     IPython.core.crashhandler
import time:       503 |        503 |                         IPython.utils.importstring
import time:       576 |       1079 |                       IPython.paths
import time:       976 |       2055 |                     IPython.core.profiledir
import time:      1130 |     188232 |                   IPython.core.application
import time:       581 |        581 |                     IPython.terminal
import time:       548 |        548 |                     IPython.core.compilerop
import time:       541 |        541 |                       IPython.core.error
import time:       451 |        451 |                         IPython.utils.docs
import time:       494 |        944 |                       IPython.utils.decorators
import time:      2352 |       2352 |                         typing_extensions
import time:      1159 |       3510 |                       IPython.utils.text
import time:       744 |       5739 |                     IPython.core.magic_arguments
import time:       630 |        630 |                       getopt
import time:       539 |        539 |                             IPython.core.display_functions
import time:       686 |        686 |                               mimetypes
import time:       551 |        551 |                                 IPython.testing
import time:       694 |       1245 |                               IPython.testing.skipdoctest
import time:       848 |       2778 |                             IPython.core.display
import time:       520 |        520 |                               IPython.lib
import time:      1819 |       2338 |                             IPython.lib.display
import time:       631 |       6285 |                           IPython.display
import time:       536 |        536 |                           IPython.utils.data
import time:       639 |       7460 |                         IPython.core.page
import time:       925 |        925 |                         IPython.lib.pretty
import time:       676 |        676 |                         IPython.utils.openpy
import time:       482 |        482 |                         IPython.utils.dir2
import time:       519 |        519 |                         IPython.utils.wildcard
import time:     10360 |      10360 |                           pygments.lexers._mapping
import time:       885 |        885 |                           pygments.modeline
import time:       747 |      11992 |                         pygments.lexers
import time:       529 |        529 |                             pygments.filter
import time:       873 |        873 |                             pygments.filters
import time:       568 |        568 |                             pygments.regexopt
import time:       934 |       2902 |                           pygments.lexer
import time:       615 |        615 |                           pygments.unistring
import time:      1293 |       4809 |                         pygments.lexers.python
import time:       681 |        681 |                           ctags
import time:       701 |       1382 |                         pygments.formatters.html
import time:      2163 |      30404 |                       IPython.core.oinspect
import time:       694 |        694 |                         IPython.utils.tokenutil
import time:      1415 |       2108 |                       IPython.core.inputtransformer2
import time:      1030 |      34170 |                     IPython.core.magic
import time:        84 |         84 |                       runpy
import time:       641 |        641 |                         cPickle
import time:       823 |       1463 |                       pickleshare
import time:       518 |        518 |                       IPython.core.hooks
import time:       516 |        516 |                         IPython.core.autocall
import time:       576 |        576 |                         IPython.core.macro
import time:       724 |        724 |                         IPython.core.splitinput
import time:      2499 |       4314 |                       IPython.core.prefilter
import time:       834 |        834 |                       IPython.core.alias
import time:       651 |        651 |                       IPython.core.builtin_trap
import time:       812 |        812 |                       IPython.core.displayhook
import time:       726 |        726 |                       IPython.core.displaypub
import time:       527 |        527 |                       IPython.core.events
import time:       647 |        647 |                       IPython.core.extensions
import time:       991 |        991 |                         decorator
import time:       495 |        495 |                         IPython.utils.sentinel
import time:      2649 |       4134 |                       IPython.core.formatters
import time:      2774 |       2774 |                             _sqlite3
import time:       781 |       3554 |                           sqlite3.dbapi2
import time:       671 |       4225 |                         sqlite3
import time:      1841 |       6065 |                       IPython.core.history
import time:       578 |        578 |                       IPython.core.logger
import time:       597 |        597 |                       IPython.core.payload
import time:       499 |        499 |                       IPython.core.usage
import time:      1310 |       1310 |                         IPython.utils.capture
import time:       635 |       1944 |                       IPython.utils.io
import time:       597 |        597 |                       IPython.utils.strdispatch
import time:       544 |        544 |                       IPython.utils.syspathcontext
import time:       675 |        675 |                         docrepr
import time:        27 |        702 |                       docrepr.sphinxify
import time:       703 |        703 |                               concurrent
import time:      1114 |       1114 |                               concurrent.futures._base
import time:       819 |       2636 |                             concurrent.futures
import time:      3043 |       3043 |                               _ssl
import time:      2551 |       5593 |                             ssl
import time:       621 |        621 |                             asyncio.constants
import time:       526 |        526 |                             asyncio.coroutines
import time:       517 |        517 |                               asyncio.format_helpers
import time:       713 |        713 |                                 asyncio.base_futures
import time:       654 |        654 |                                 asyncio.exceptions
import time:       545 |        545 |                                 asyncio.base_tasks
import time:      1654 |       3564 |                               _asyncio
import time:       808 |       4887 |                             asyncio.events
import time:       590 |        590 |                             asyncio.futures
import time:       552 |        552 |                             asyncio.protocols
import time:       660 |        660 |                               asyncio.transports
import time:       482 |        482 |                               asyncio.log
import time:       929 |       2070 |                             asyncio.sslproto
import time:       579 |        579 |                                 asyncio.mixins
import time:       767 |        767 |                                 asyncio.tasks
import time:       839 |       2184 |                               asyncio.locks
import time:       684 |       2868 |                             asyncio.staggered
import time:       540 |        540 |                             asyncio.trsock
import time:      1490 |      22369 |                           asyncio.base_events
import time:       735 |        735 |                           asyncio.runners
import time:       767 |        767 |                           asyncio.queues
import time:       716 |        716 |                           asyncio.streams
import time:       573 |        573 |                           asyncio.subprocess
import time:       519 |        519 |                           asyncio.taskgroups
import time:       754 |        754 |                           asyncio.timeouts
import time:       486 |        486 |                           asyncio.threads
import time:      2951 |       2951 |                             _overlapped
import time:       667 |        667 |                             asyncio.base_subprocess
import time:       861 |        861 |                             asyncio.proactor_events
import time:       896 |        896 |                             asyncio.selector_events
import time:       639 |        639 |                             asyncio.windows_utils
import time:       998 |       7011 |                           asyncio.windows_events
import time:       863 |      34789 |                         asyncio
import time:       544 |      35333 |                       IPython.core.async_helpers
import time:      2821 |      64381 |                     IPython.core.interactiveshell
import time:       539 |        539 |                                 prompt_toolkit.application.current
import time:       561 |        561 |                                       prompt_toolkit.eventloop.utils
import time:       947 |       1508 |                                     prompt_toolkit.eventloop.async_generator
import time:       661 |        661 |                                     prompt_toolkit.eventloop.inputhook
import time:       695 |       2863 |                                   prompt_toolkit.eventloop
import time:       524 |       3386 |                                 prompt_toolkit.application.run_in_terminal
import time:       671 |        671 |                                         prompt_toolkit.selection
import time:       767 |       1437 |                                       prompt_toolkit.clipboard.base
import time:       529 |        529 |                                       prompt_toolkit.clipboard.in_memory
import time:       623 |       2588 |                                     prompt_toolkit.clipboard
import time:       665 |        665 |                                         prompt_toolkit.cache
import time:       572 |        572 |                                         prompt_toolkit.enums
import time:       656 |        656 |                                         prompt_toolkit.filters.base
import time:       881 |       2773 |                                       prompt_toolkit.filters.app
import time:       529 |        529 |                                       prompt_toolkit.filters.cli
import time:       558 |        558 |                                       prompt_toolkit.filters.utils
import time:       666 |       4524 |                                     prompt_toolkit.filters
import time:      1874 |       8985 |                                   prompt_toolkit.document
import time:       667 |       9652 |                                 prompt_toolkit.auto_suggest
import time:      1969 |       1969 |                                                       prompt_toolkit.keys
import time:      1090 |       3058 |                                                     prompt_toolkit.key_binding.key_bindings
import time:       531 |        531 |                                                             wcwidth.table_vs16
import time:       507 |        507 |                                                             wcwidth.table_wide
import time:       599 |        599 |                                                             wcwidth.table_zero
import time:       456 |        456 |                                                             wcwidth.unicode_versions
import time:       837 |       2929 |                                                           wcwidth.wcwidth
import time:       782 |       3710 |                                                         wcwidth
import time:       720 |       4430 |                                                       prompt_toolkit.utils
import time:       707 |       5136 |                                                     prompt_toolkit.key_binding.key_processor
import time:       560 |       8753 |                                                   prompt_toolkit.key_binding
import time:       660 |       9413 |                                                 prompt_toolkit.key_binding.vi_state
import time:       719 |      10131 |                                               prompt_toolkit.cursor_shapes
import time:       765 |        765 |                                               prompt_toolkit.data_structures
import time:       995 |        995 |                                                 prompt_toolkit.styles.base
import time:       534 |        534 |                                                   prompt_toolkit.styles.named_colors
import time:       844 |        844 |                                                   prompt_toolkit.styles.style
import time:       621 |       1997 |                                                 prompt_toolkit.styles.defaults
import time:       504 |        504 |                                                 prompt_toolkit.styles.pygments
import time:       583 |        583 |                                                   colorsys
import time:       696 |       1279 |                                                 prompt_toolkit.styles.style_transformation
import time:       626 |       5400 |                                               prompt_toolkit.styles
import time:       638 |        638 |                                               prompt_toolkit.output.color_depth
import time:       873 |      17805 |                                             prompt_toolkit.output.base
import time:       484 |        484 |                                                 prompt_toolkit.output.flush_stdout
import time:       626 |       1110 |                                               prompt_toolkit.output.plain_text
import time:       519 |       1628 |                                             prompt_toolkit.output.defaults
import time:       563 |      19995 |                                           prompt_toolkit.output
import time:       852 |      20847 |                                         prompt_toolkit.output.vt100
import time:       761 |        761 |                                           prompt_toolkit.mouse_events
import time:       736 |       1496 |                                         prompt_toolkit.formatted_text.base
import time:      1020 |      23363 |                                       prompt_toolkit.formatted_text.ansi
import time:       672 |        672 |                                             xml
import time:       679 |        679 |                                             xml.dom.domreg
import time:      1079 |       2429 |                                           xml.dom
import time:       527 |        527 |                                           xml.dom.minicompat
import time:       508 |        508 |                                             xml.dom.NodeFilter
import time:       699 |       1206 |                                           xml.dom.xmlbuilder
import time:      1229 |       5390 |                                         xml.dom.minidom
import time:       556 |       5945 |                                       prompt_toolkit.formatted_text.html
import time:       518 |        518 |                                       prompt_toolkit.formatted_text.pygments
import time:       493 |        493 |                                       prompt_toolkit.formatted_text.utils
import time:      1791 |      32108 |                                     prompt_toolkit.formatted_text
import time:      1061 |      33169 |                                   prompt_toolkit.completion.base
import time:       677 |        677 |                                   prompt_toolkit.completion.deduplicate
import time:       628 |        628 |                                   prompt_toolkit.completion.filesystem
import time:       566 |        566 |                                     prompt_toolkit.completion.word_completer
import time:       861 |       1427 |                                   prompt_toolkit.completion.fuzzy_completer
import time:       795 |        795 |                                   prompt_toolkit.completion.nested
import time:       692 |      37386 |                                 prompt_toolkit.completion
import time:       675 |        675 |                                 prompt_toolkit.history
import time:       798 |        798 |                                 prompt_toolkit.search
import time:       895 |        895 |                                 prompt_toolkit.validation
import time:      3171 |      56498 |                               prompt_toolkit.buffer
import time:       873 |        873 |                                   prompt_toolkit.input.base
import time:       493 |        493 |                                   prompt_toolkit.input.defaults
import time:      1070 |       2435 |                                 prompt_toolkit.input
import time:        38 |       2473 |                               prompt_toolkit.input.base
import time:       484 |        484 |                               prompt_toolkit.input.typeahead
import time:       559 |        559 |                                 prompt_toolkit.key_binding.bindings
import time:       501 |        501 |                                 prompt_toolkit.key_binding.bindings.scroll
import time:       715 |       1774 |                               prompt_toolkit.key_binding.bindings.page_navigation
import time:       745 |        745 |                                               prompt_toolkit.lexers.base
import time:       768 |        768 |                                               prompt_toolkit.lexers.pygments
import time:       734 |       2246 |                                             prompt_toolkit.lexers
import time:       580 |        580 |                                               prompt_toolkit.layout.utils
import time:      1089 |       1669 |                                             prompt_toolkit.layout.processors
import time:      1075 |       4989 |                                           prompt_toolkit.layout.controls
import time:       600 |        600 |                                           prompt_toolkit.layout.dimension
import time:       672 |        672 |                                           prompt_toolkit.layout.margins
import time:       521 |        521 |                                           prompt_toolkit.layout.mouse_handlers
import time:       611 |        611 |                                           prompt_toolkit.layout.screen
import time:      2378 |       9770 |                                         prompt_toolkit.layout.containers
import time:       865 |        865 |                                         prompt_toolkit.layout.layout
import time:       983 |        983 |                                         prompt_toolkit.layout.menus
import time:       638 |        638 |                                         prompt_toolkit.layout.scrollable_pane
import time:      1683 |      13937 |                                       prompt_toolkit.layout
import time:        71 |      14007 |                                     prompt_toolkit.layout.controls
import time:       826 |        826 |                                     prompt_toolkit.key_binding.bindings.completion
import time:      3546 |      18378 |                                   prompt_toolkit.key_binding.bindings.named_commands
import time:       566 |      18943 |                                 prompt_toolkit.key_binding.bindings.basic
import time:       517 |        517 |                                 prompt_toolkit.key_binding.bindings.cpr
import time:       670 |        670 |                                 prompt_toolkit.key_binding.bindings.emacs
import time:       630 |        630 |                                 prompt_toolkit.key_binding.bindings.mouse
import time:       898 |        898 |                                     prompt_toolkit.input.ansi_escape_sequences
import time:      1438 |       2336 |                                   prompt_toolkit.input.vt100_parser
import time:      1204 |       1204 |                                   prompt_toolkit.key_binding.digraphs
import time:      1890 |       5429 |                                 prompt_toolkit.key_binding.bindings.vi
import time:       555 |      26743 |                               prompt_toolkit.key_binding.defaults
import time:       543 |        543 |                               prompt_toolkit.key_binding.emacs_state
import time:       557 |        557 |                               prompt_toolkit.layout.dummy
import time:     10910 |      10910 |                               prompt_toolkit.renderer
import time:      1633 |     101609 |                             prompt_toolkit.application.application
import time:       682 |        682 |                             prompt_toolkit.application.dummy
import time:       861 |     103151 |                           prompt_toolkit.application
import time:       538 |        538 |                               prompt_toolkit.key_binding.bindings.focus
import time:      1013 |       1013 |                                   prompt_toolkit.widgets.toolbars
import time:      1366 |       2379 |                                 prompt_toolkit.widgets.base
import time:       611 |        611 |                                 prompt_toolkit.widgets.dialogs
import time:       955 |        955 |                                 prompt_toolkit.widgets.menus
import time:       649 |       4592 |                               prompt_toolkit.widgets
import time:       920 |       6049 |                             prompt_toolkit.shortcuts.dialogs
import time:       545 |        545 |                                     xml.parsers
import time:      3115 |       3115 |                                       pyexpat
import time:       694 |       3808 |                                     xml.parsers.expat
import time:      1141 |       5494 |                                   xml.dom.expatbuilder
import time:      1413 |       6907 |                                 prompt_toolkit.shortcuts.progress_bar.formatters
import time:       947 |       7854 |                               prompt_toolkit.shortcuts.progress_bar.base
import time:       635 |       8489 |                             prompt_toolkit.shortcuts.progress_bar
import time:       562 |        562 |                               prompt_toolkit.key_binding.bindings.auto_suggest
import time:       510 |        510 |                               prompt_toolkit.key_binding.bindings.open_in_editor
import time:      1307 |       2379 |                             prompt_toolkit.shortcuts.prompt
import time:       561 |        561 |                             prompt_toolkit.shortcuts.utils
import time:       701 |      18177 |                           prompt_toolkit.shortcuts
import time:      1633 |     122961 |                         prompt_toolkit
import time:        24 |     122984 |                       prompt_toolkit.auto_suggest
import time:       598 |        598 |                       prompt_toolkit.patch_stdout
import time:      2077 |       2077 |                           unicodedata
import time:      1798 |       1798 |                             _uuid
import time:      1130 |       2927 |                           uuid
import time:      3552 |       3552 |                           IPython.core.guarded_eval
import time:      1297 |       1297 |                           IPython.core.latex_symbols
import time:       593 |        593 |                           IPython.utils.generics
import time:       820 |        820 |                                     parso.utils
import time:       816 |       1636 |                                   parso.tree
import time:       610 |        610 |                                             parso.python
import time:       702 |        702 |                                             parso.python.token
import time:      1806 |       3117 |                                           parso.python.tokenize
import time:      9551 |      12667 |                                         parso.pgen2.grammar_parser
import time:       942 |      13609 |                                       parso.pgen2.generator
import time:       653 |      14261 |                                     parso.pgen2
import time:        28 |      14289 |                                   parso.pgen2.generator
import time:       967 |      16891 |                                 parso.parser
import time:       563 |        563 |                                   parso._compatibility
import time:      1327 |       1327 |                                     difflib
import time:       755 |        755 |                                         parso.python.prefix
import time:      1690 |       2445 |                                       parso.python.tree
import time:       680 |       3125 |                                     parso.python.parser
import time:       986 |       5437 |                                   parso.python.diff
import time:       152 |        152 |                                     gc
import time:    163318 |     163469 |                                   parso.cache
import time:       766 |        766 |                                     parso.normalizer
import time:      1507 |       2273 |                                   parso.python.errors
import time:       860 |        860 |                                   parso.python.pep8
import time:     10003 |      10003 |                                   parso.file_io
import time:       939 |     183541 |                                 parso.grammar
import time:       960 |     201391 |                               parso
import time:       645 |        645 |                               jedi.parser_utils
import time:       596 |        596 |                               jedi.debug
import time:       496 |        496 |                               jedi.settings
import time:       555 |        555 |                               jedi.cache
import time:       580 |        580 |                               jedi.file_io
import time:       540 |        540 |                                         jedi.inference.cache
import time:       540 |        540 |                                           jedi.inference.helpers
import time:       663 |        663 |                                           jedi.inference.utils
import time:       807 |       2009 |                                         jedi.inference.base_value
import time:       573 |       3121 |                                       jedi.inference.sys_path
import time:       590 |        590 |                                               jedi.inference.recursion
import time:       599 |       1188 |                                             jedi.inference.flow_analysis
import time:       484 |        484 |                                                   jedi.common
import time:       563 |       1047 |                                                 jedi.inference.lazy_value
import time:       748 |       1795 |                                               jedi.inference.docstrings
import time:       558 |        558 |                                               jedi.plugins
import time:      1031 |       3382 |                                             jedi.inference.names
import time:       908 |       5478 |                                           jedi.inference.filters
import time:       508 |        508 |                                             jedi.inference.compiled.getattr_static
import time:       849 |       1357 |                                           jedi.inference.compiled.access
import time:       611 |        611 |                                           jedi.inference.signature
import time:      1300 |       1300 |                                           jedi.inference.context
import time:      1055 |       9799 |                                         jedi.inference.compiled.value
import time:       620 |      10419 |                                       jedi.inference.compiled
import time:       586 |        586 |                                       jedi.inference.analysis
import time:       543 |        543 |                                         jedi.inference.gradual
import time:       817 |        817 |                                               jedi.inference.value.module
import time:       615 |        615 |                                                     jedi.inference.value.dynamic_arrays
import time:      1286 |       1900 |                                                   jedi.inference.value.iterable
import time:       670 |       2569 |                                                 jedi.inference.arguments
import time:       609 |        609 |                                                   jedi.inference.parser_cache
import time:       710 |        710 |                                                   jedi.inference.gradual.generics
import time:      9861 |      11179 |                                                 jedi.inference.value.function
import time:       784 |      14531 |                                               jedi.inference.value.klass
import time:      1132 |       1132 |                                               jedi.inference.value.instance
import time:       594 |      17073 |                                             jedi.inference.value
import time:        27 |      17100 |                                           jedi.inference.value.module
import time:       787 |        787 |                                             jedi.inference.gradual.base
import time:       660 |        660 |                                             jedi.inference.gradual.type_var
import time:      1028 |       2473 |                                           jedi.inference.gradual.typing
import time:       643 |      20215 |                                         jedi.inference.gradual.stub_value
import time:       991 |      21749 |                                       jedi.inference.gradual.typeshed
import time:       497 |        497 |                                           jedi._compatibility
import time:       783 |        783 |                                           jedi.inference.compiled.subprocess.functions
import time:       515 |        515 |                                           jedi.api.exceptions
import time:       855 |       2649 |                                         jedi.inference.compiled.subprocess
import time:        28 |       2676 |                                       jedi.inference.compiled.subprocess.functions
import time:       955 |      39502 |                                     jedi.inference.imports
import time:       573 |        573 |                                         jedi.inference.param
import time:       689 |       1261 |                                       jedi.inference.gradual.annotation
import time:       520 |        520 |                                       jedi.inference.value.decorator
import time:       898 |       2678 |                                     jedi.inference.syntax_tree
import time:       980 |      43160 |                                   jedi.inference
import time:        29 |      43188 |                                 jedi.inference.utils
import time:       619 |        619 |                                   jedi.inference.gradual.conversion
import time:       720 |       1338 |                                 jedi.inference.compiled.mixed
import time:       723 |        723 |                                   pydoc_data
import time:      1461 |       1461 |                                   pydoc_data.topics
import time:       629 |       2811 |                                 jedi.api.keywords
import time:       843 |        843 |                                 jedi.api.completion_cache
import time:       897 |        897 |                                 jedi.api.helpers
import time:      1102 |      50177 |                               jedi.api.classes
import time:       588 |        588 |                               jedi.api.interpreter
import time:       530 |        530 |                                 jedi.api.strings
import time:       539 |        539 |                                 jedi.api.file_name
import time:       530 |        530 |                                 jedi.inference.docstring_utils
import time:       961 |       2558 |                               jedi.api.completion
import time:       743 |        743 |                                 filecmp
import time:       765 |       1507 |                               jedi.api.environment
